chromosome	window_pos_1	window_pos_2	group	piawka_lines	pixy_no_sites	sites_gained_piawka_vs_pixy
scaffold_1	1310000	1320000	MIX Amur Basin	7641.0	3444.0	4197.0
scaffold_1	1310000	1320000	MIX Central Siberia	8140.0	3850.0	4290.0
scaffold_1	1310000	1320000	MIX Sibiryakov Island	8350.0	3797.0	4553.0
scaffold_1	1310000	1320000	North America	7986.0	3882.0	4104.0
scaffold_1	1310000	1320000	Northern Ural	7953.0	3805.0	4148.0
scaffold_1	1310000	1320000	Scandinavia	8278.0	3882.0	4396.0
scaffold_1	1310000	1320000	Siberia SC	8604.0	3808.0	4796.0
scaffold_1	1310000	1320000	West Siberia	8233.0	3921.0	4312.0
scaffold_1	1310000	1320000	admixed	8289.0	3843.0	4446.0
scaffold_1	1320000	1330000	Central Europe	7450.0	4131.0	3319.0
scaffold_1	1320000	1330000	East Siberia	8717.0	4186.0	4531.0
scaffold_1	1320000	1330000	Karelia	8883.0	4184.0	4699.0
scaffold_1	1320000	1330000	MIX Amur Basin	7919.0	3705.0	4214.0
scaffold_1	1320000	1330000	MIX Central Siberia	8263.0	4093.0	4170.0
scaffold_1	1320000	1330000	MIX Sibiryakov Island	8522.0	4045.0	4477.0
scaffold_1	1320000	1330000	North America	8356.0	4124.0	4232.0
scaffold_1	1320000	1330000	Northern Ural	8226.0	4056.0	4170.0
scaffold_1	1320000	1330000	Scandinavia	8537.0	4124.0	4413.0
scaffold_1	1320000	1330000	Siberia SC	8738.0	4074.0	4664.0
scaffold_1	1320000	1330000	West Siberia	8540.0	4174.0	4366.0
scaffold_1	1320000	1330000	admixed	8533.0	4086.0	4447.0
scaffold_1	1330000	1340000	Central Europe	7710.0	4601.0	3109.0
scaffold_1	1330000	1340000	East Siberia	8874.0	4640.0	4234.0
scaffold_1	1330000	1340000	Karelia	9053.0	4640.0	4413.0
scaffold_1	1330000	1340000	MIX Amur Basin	8202.0	4159.0	4043.0
scaffold_1	1330000	1340000	MIX Central Siberia	8511.0	4559.0	3952.0
scaffold_1	1330000	1340000	MIX Sibiryakov Island	8760.0	4527.0	4233.0
scaffold_1	1330000	1340000	North America	8628.0	4595.0	4033.0
scaffold_1	1330000	1340000	Northern Ural	8452.0	4538.0	3914.0
scaffold_1	1330000	1340000	Scandinavia	8708.0	4595.0	4113.0
scaffold_1	1330000	1340000	Siberia SC	8865.0	4537.0	4328.0
scaffold_1	1330000	1340000	West Siberia	8910.0	4630.0	4280.0
scaffold_1	1330000	1340000	admixed	8800.0	4556.0	4244.0
scaffold_1	1340000	1350000	Central Europe	8077.0	5278.0	2799.0
scaffold_1	1340000	1350000	East Siberia	9221.0	5309.0	3912.0
scaffold_1	1340000	1350000	Karelia	9281.0	5308.0	3973.0
scaffold_1	1340000	1350000	MIX Amur Basin	8443.0	4792.0	3651.0
scaffold_1	1340000	1350000	MIX Central Siberia	8932.0	5240.0	3692.0
scaffold_1	1340000	1350000	MIX Sibiryakov Island	9069.0	5200.0	3869.0
scaffold_1	1340000	1350000	North America	8870.0	5274.0	3596.0
scaffold_1	1340000	1350000	Northern Ural	8810.0	5215.0	3595.0
scaffold_1	1340000	1350000	Scandinavia	9072.0	5274.0	3798.0
scaffold_1	1340000	1350000	Siberia SC	9183.0	5224.0	3959.0
scaffold_1	1340000	1350000	West Siberia	9089.0	5298.0	3791.0
scaffold_1	1340000	1350000	admixed	9112.0	5238.0	3874.0
scaffold_1	1350000	1360000	Central Europe	7879.0	5268.0	2611.0
scaffold_1	1350000	1360000	East Siberia	8827.0	5291.0	3536.0
scaffold_1	1350000	1360000	Karelia	9143.0	5290.0	3853.0
scaffold_1	1350000	1360000	MIX Amur Basin	8248.0	4773.0	3475.0
scaffold_1	1350000	1360000	MIX Central Siberia	8661.0	5238.0	3423.0
scaffold_1	1350000	1360000	MIX Sibiryakov Island	8961.0	5216.0	3745.0
scaffold_1	1350000	1360000	North America	8567.0	5262.0	3305.0
scaffold_1	1350000	1360000	Northern Ural	8663.0	5218.0	3445.0
scaffold_1	1350000	1360000	Scandinavia	8771.0	5262.0	3509.0
scaffold_1	1350000	1360000	Siberia SC	9035.0	5219.0	3816.0
scaffold_1	1350000	1360000	West Siberia	8991.0	5286.0	3705.0
scaffold_1	1350000	1360000	admixed	8972.0	5230.0	3742.0
scaffold_1	1360000	1370000	Central Europe	8459.0	5724.0	2735.0
scaffold_1	1360000	1370000	East Siberia	8661.0	5536.0	3125.0
scaffold_1	1360000	1370000	Karelia	8745.0	5343.0	3402.0
scaffold_1	1360000	1370000	MIX Amur Basin	8306.0	5121.0	3185.0
scaffold_1	1360000	1370000	MIX Central Siberia	8875.0	5614.0	3261.0
scaffold_1	1360000	1370000	MIX Sibiryakov Island	8492.0	5232.0	3260.0
scaffold_1	1360000	1370000	North America	8893.0	5500.0	3393.0
scaffold_1	1360000	1370000	Northern Ural	8648.0	5583.0	3065.0
scaffold_1	1360000	1370000	Scandinavia	8916.0	5615.0	3301.0
scaffold_1	1360000	1370000	Siberia SC	9226.0	5650.0	3576.0
scaffold_1	1360000	1370000	West Siberia	8928.0	5716.0	3212.0
scaffold_1	1360000	1370000	admixed	8921.0	5606.0	3315.0
scaffold_1	1370000	1380000	Central Europe	7722.0	4504.0	3218.0
scaffold_1	1370000	1380000	East Siberia	8582.0	4350.0	4232.0
scaffold_1	1370000	1380000	Karelia	8789.0	4446.0	4343.0
scaffold_1	1370000	1380000	MIX Amur Basin	7817.0	3886.0	3931.0
scaffold_1	1370000	1380000	MIX Central Siberia	8590.0	4376.0	4214.0
scaffold_1	1370000	1380000	MIX Sibiryakov Island	8332.0	4091.0	4241.0
scaffold_1	1370000	1380000	North America	8277.0	4225.0	4052.0
scaffold_1	1370000	1380000	Northern Ural	8368.0	4394.0	3974.0
scaffold_1	1370000	1380000	Scandinavia	8638.0	4493.0	4145.0
scaffold_1	1370000	1380000	Siberia SC	8817.0	4432.0	4385.0
scaffold_1	1370000	1380000	West Siberia	8507.0	4397.0	4110.0
scaffold_1	1370000	1380000	admixed	8709.0	4441.0	4268.0
scaffold_1	1380000	1390000	Central Europe	6812.0	4040.0	2772.0
scaffold_1	1380000	1390000	East Siberia	8320.0	4079.0	4241.0
scaffold_1	1380000	1390000	Karelia	8559.0	4070.0	4489.0
scaffold_1	1380000	1390000	MIX Amur Basin	7589.0	3582.0	4007.0
scaffold_1	1380000	1390000	MIX Central Siberia	8056.0	4002.0	4054.0
scaffold_1	1380000	1390000	MIX Sibiryakov Island	8297.0	3949.0	4348.0
scaffold_1	1380000	1390000	North America	8130.0	4025.0	4105.0
scaffold_1	1380000	1390000	Northern Ural	7912.0	3950.0	3962.0
scaffold_1	1380000	1390000	Scandinavia	8254.0	4033.0	4221.0
scaffold_1	1380000	1390000	Siberia SC	8531.0	3981.0	4550.0
scaffold_1	1380000	1390000	West Siberia	8284.0	4046.0	4238.0
scaffold_1	1380000	1390000	admixed	8253.0	3981.0	4272.0
scaffold_1	1390000	1400000	Central Europe	7291.0	4745.0	2546.0
scaffold_1	1390000	1400000	East Siberia	8601.0	4778.0	3823.0
scaffold_1	1390000	1400000	Karelia	8871.0	4723.0	4148.0
scaffold_1	1390000	1400000	MIX Amur Basin	7995.0	4251.0	3744.0
scaffold_1	1390000	1400000	MIX Central Siberia	8374.0	4711.0	3663.0
scaffold_1	1390000	1400000	MIX Sibiryakov Island	8496.0	4526.0	3970.0
scaffold_1	1390000	1400000	North America	8279.0	4703.0	3576.0
scaffold_1	1390000	1400000	Northern Ural	8157.0	4635.0	3522.0
scaffold_1	1390000	1400000	Scandinavia	8463.0	4730.0	3733.0
scaffold_1	1390000	1400000	Siberia SC	8763.0	4691.0	4072.0
scaffold_1	1390000	1400000	West Siberia	8666.0	4700.0	3966.0
scaffold_1	1390000	1400000	admixed	8646.0	4679.0	3967.0
scaffold_1	1400000	1410000	Central Europe	8166.0	5140.0	3026.0
scaffold_1	1400000	1410000	East Siberia	8912.0	5170.0	3742.0
scaffold_1	1400000	1410000	Karelia	9061.0	5169.0	3892.0
scaffold_1	1400000	1410000	MIX Amur Basin	8140.0	4609.0	3531.0
scaffold_1	1400000	1410000	MIX Central Siberia	8783.0	5092.0	3691.0
scaffold_1	1400000	1410000	MIX Sibiryakov Island	8830.0	5064.0	3766.0
scaffold_1	1400000	1410000	North America	8813.0	5138.0	3675.0
scaffold_1	1400000	1410000	Northern Ural	8538.0	5067.0	3471.0
scaffold_1	1400000	1410000	Scandinavia	8829.0	5138.0	3691.0
scaffold_1	1400000	1410000	Siberia SC	8944.0	5069.0	3875.0
scaffold_1	1400000	1410000	West Siberia	8878.0	5158.0	3720.0
scaffold_1	1400000	1410000	admixed	8868.0	5086.0	3782.0
scaffold_1	1410000	1420000	Central Europe	6456.0	3574.0	2882.0
scaffold_1	1410000	1420000	East Siberia	8253.0	3616.0	4637.0
scaffold_1	1410000	1420000	Karelia	8679.0	3611.0	5068.0
scaffold_1	1410000	1420000	MIX Amur Basin	7696.0	3226.0	4470.0
scaffold_1	1410000	1420000	MIX Central Siberia	7975.0	3541.0	4434.0
scaffold_1	1410000	1420000	MIX Sibiryakov Island	8353.0	3513.0	4840.0
scaffold_1	1410000	1420000	North America	8079.0	3565.0	4514.0
scaffold_1	1410000	1420000	Northern Ural	7901.0	3513.0	4388.0
scaffold_1	1410000	1420000	Scandinavia	8226.0	3565.0	4661.0
scaffold_1	1410000	1420000	Siberia SC	8535.0	3532.0	5003.0
scaffold_1	1410000	1420000	West Siberia	8166.0	3606.0	4560.0
scaffold_1	1410000	1420000	admixed	8210.0	3536.0	4674.0
scaffold_1	1420000	1430000	Central Europe	6159.0	3125.0	3034.0
scaffold_1	1420000	1430000	East Siberia	7949.0	3186.0	4763.0
scaffold_1	1420000	1430000	Karelia	8406.0	3178.0	5228.0
scaffold_1	1420000	1430000	MIX Amur Basin	7541.0	2800.0	4741.0
scaffold_1	1420000	1430000	MIX Central Siberia	7632.0	3093.0	4539.0
scaffold_1	1420000	1430000	MIX Sibiryakov Island	8173.0	3050.0	5123.0
scaffold_1	1420000	1430000	North America	7540.0	3117.0	4423.0
scaffold_1	1420000	1430000	Northern Ural	7619.0	3058.0	4561.0
scaffold_1	1420000	1430000	Scandinavia	7711.0	3117.0	4594.0
scaffold_1	1420000	1430000	Siberia SC	8356.0	3078.0	5278.0
scaffold_1	1420000	1430000	West Siberia	8143.0	3172.0	4971.0
scaffold_1	1420000	1430000	admixed	8085.0	3087.0	4998.0
scaffold_1	1430000	1440000	Central Europe	6141.0	3354.0	2787.0
scaffold_1	1430000	1440000	East Siberia	8082.0	3401.0	4681.0
scaffold_1	1430000	1440000	Karelia	8419.0	3399.0	5020.0
scaffold_1	1430000	1440000	MIX Amur Basin	7663.0	3005.0	4658.0
scaffold_1	1430000	1440000	MIX Central Siberia	7614.0	3324.0	4290.0
scaffold_1	1430000	1440000	MIX Sibiryakov Island	8135.0	3264.0	4871.0
scaffold_1	1430000	1440000	North America	7940.0	3347.0	4593.0
scaffold_1	1430000	1440000	Northern Ural	7445.0	3289.0	4156.0
scaffold_1	1430000	1440000	Scandinavia	7711.0	3347.0	4364.0
scaffold_1	1430000	1440000	Siberia SC	8456.0	3310.0	5146.0
scaffold_1	1430000	1440000	West Siberia	8027.0	3389.0	4638.0
scaffold_1	1430000	1440000	admixed	8067.0	3320.0	4747.0
scaffold_1	1440000	1450000	Central Europe	7087.0	3945.0	3142.0
scaffold_1	1440000	1450000	East Siberia	8347.0	3981.0	4366.0
scaffold_1	1440000	1450000	Karelia	8837.0	3978.0	4859.0
scaffold_1	1440000	1450000	MIX Amur Basin	7777.0	3546.0	4231.0
scaffold_1	1440000	1450000	MIX Central Siberia	8044.0	3901.0	4143.0
scaffold_1	1440000	1450000	MIX Sibiryakov Island	8630.0	3850.0	4780.0
scaffold_1	1440000	1450000	North America	8147.0	3935.0	4212.0
scaffold_1	1440000	1450000	Northern Ural	7871.0	3866.0	4005.0
scaffold_1	1440000	1450000	Scandinavia	8143.0	3931.0	4212.0
scaffold_1	1440000	1450000	Siberia SC	8754.0	3883.0	4871.0
scaffold_1	1440000	1450000	West Siberia	8433.0	3962.0	4471.0
scaffold_1	1440000	1450000	admixed	8370.0	3895.0	4475.0
scaffold_1	1450000	1460000	Central Europe	6848.0	3902.0	2946.0
scaffold_1	1450000	1460000	East Siberia	8052.0	3972.0	4080.0
scaffold_1	1450000	1460000	Karelia	8236.0	3593.0	4643.0
scaffold_1	1450000	1460000	MIX Amur Basin	7440.0	3283.0	4157.0
scaffold_1	1450000	1460000	MIX Central Siberia	7942.0	3879.0	4063.0
scaffold_1	1450000	1460000	MIX Sibiryakov Island	7928.0	3463.0	4465.0
scaffold_1	1450000	1460000	North America	7560.0	3800.0	3760.0
scaffold_1	1450000	1460000	Northern Ural	7531.0	3567.0	3964.0
scaffold_1	1450000	1460000	Scandinavia	8098.0	3830.0	4268.0
scaffold_1	1450000	1460000	Siberia SC	8568.0	3879.0	4689.0
scaffold_1	1450000	1460000	West Siberia	8149.0	3699.0	4450.0
scaffold_1	1450000	1460000	admixed	8341.0	3888.0	4453.0
scaffold_1	1460000	1470000	Central Europe	8055.0	5738.0	2317.0
scaffold_1	1460000	1470000	East Siberia	9055.0	5773.0	3282.0
scaffold_1	1460000	1470000	Karelia	8768.0	5243.0	3525.0
scaffold_1	1460000	1470000	MIX Amur Basin	7661.0	4579.0	3082.0
scaffold_1	1460000	1470000	MIX Central Siberia	9025.0	5736.0	3289.0
scaffold_1	1460000	1470000	MIX Sibiryakov Island	7478.0	4220.0	3258.0
scaffold_1	1460000	1470000	North America	4768.0	2287.0	2481.0
scaffold_1	1460000	1470000	Northern Ural	7902.0	4818.0	3084.0
scaffold_1	1460000	1470000	Scandinavia	8692.0	5587.0	3105.0
scaffold_1	1460000	1470000	Siberia SC	9249.0	5731.0	3518.0
scaffold_1	1460000	1470000	West Siberia	8509.0	5233.0	3276.0
scaffold_1	1460000	1470000	admixed	8979.0	5655.0	3324.0
scaffold_1	1470000	1480000	Central Europe	6362.0	3451.0	2911.0
scaffold_1	1470000	1480000	East Siberia	7507.0	3469.0	4038.0
scaffold_1	1470000	1480000	Karelia	8114.0	3387.0	4727.0
scaffold_1	1470000	1480000	MIX Amur Basin	7458.0	3077.0	4381.0
scaffold_1	1470000	1480000	MIX Central Siberia	7195.0	3419.0	3776.0
scaffold_1	1470000	1480000	MIX Sibiryakov Island	7651.0	3218.0	4433.0
scaffold_1	1470000	1480000	North America	7236.0	3436.0	3800.0
scaffold_1	1470000	1480000	Northern Ural	7481.0	3315.0	4166.0
scaffold_1	1470000	1480000	Scandinavia	7750.0	3399.0	4351.0
scaffold_1	1470000	1480000	Siberia SC	8535.0	3411.0	5124.0
scaffold_1	1470000	1480000	West Siberia	8037.0	3422.0	4615.0
scaffold_1	1470000	1480000	admixed	7979.0	3377.0	4602.0
scaffold_1	1480000	1490000	Central Europe	6878.0	4442.0	2436.0
scaffold_1	1480000	1490000	East Siberia	8440.0	4636.0	3804.0
scaffold_1	1480000	1490000	Karelia	7710.0	3949.0	3761.0
scaffold_1	1480000	1490000	MIX Amur Basin	7490.0	3863.0	3627.0
scaffold_1	1480000	1490000	MIX Central Siberia	8553.0	4739.0	3814.0
scaffold_1	1480000	1490000	MIX Sibiryakov Island	7249.0	3866.0	3383.0
scaffold_1	1480000	1490000	North America	7941.0	4543.0	3398.0
scaffold_1	1480000	1490000	Northern Ural	7240.0	3982.0	3258.0
scaffold_1	1480000	1490000	Scandinavia	7941.0	4554.0	3387.0
scaffold_1	1480000	1490000	Siberia SC	8941.0	4739.0	4202.0
scaffold_1	1480000	1490000	West Siberia	7716.0	4100.0	3616.0
scaffold_1	1480000	1490000	admixed	8689.0	4735.0	3954.0
scaffold_1	1490000	1500000	Central Europe	7301.0	4556.0	2745.0
scaffold_1	1490000	1500000	East Siberia	8386.0	4635.0	3751.0
scaffold_1	1490000	1500000	Karelia	8300.0	4371.0	3929.0
scaffold_1	1490000	1500000	MIX Amur Basin	7615.0	4005.0	3610.0
scaffold_1	1490000	1500000	MIX Central Siberia	8328.0	4500.0	3828.0
scaffold_1	1490000	1500000	MIX Sibiryakov Island	7861.0	4228.0	3633.0
scaffold_1	1490000	1500000	North America	8335.0	4523.0	3812.0
scaffold_1	1490000	1500000	Northern Ural	8041.0	4341.0	3700.0
scaffold_1	1490000	1500000	Scandinavia	8475.0	4547.0	3928.0
scaffold_1	1490000	1500000	Siberia SC	8847.0	4554.0	4293.0
scaffold_1	1490000	1500000	West Siberia	8488.0	4499.0	3989.0
scaffold_1	1490000	1500000	admixed	8624.0	4556.0	4068.0
scaffold_1	1500000	1510000	Central Europe	6363.0	3768.0	2595.0
scaffold_1	1500000	1510000	East Siberia	7520.0	3890.0	3630.0
scaffold_1	1500000	1510000	Karelia	7013.0	3042.0	3971.0
scaffold_1	1500000	1510000	MIX Amur Basin	5722.0	2366.0	3356.0
scaffold_1	1500000	1510000	MIX Central Siberia	7592.0	3802.0	3790.0
scaffold_1	1500000	1510000	MIX Sibiryakov Island	8046.0	3823.0	4223.0
scaffold_1	1500000	1510000	North America	7440.0	3859.0	3581.0
scaffold_1	1500000	1510000	Northern Ural	7002.0	3509.0	3493.0
scaffold_1	1500000	1510000	Scandinavia	7385.0	3793.0	3592.0
scaffold_1	1500000	1510000	Siberia SC	8390.0	3908.0	4482.0
scaffold_1	1500000	1510000	West Siberia	6611.0	2904.0	3707.0
scaffold_1	1500000	1510000	admixed	7811.0	3891.0	3920.0
scaffold_1	1510000	1520000	Central Europe	6926.0	3989.0	2937.0
scaffold_1	1510000	1520000	East Siberia	8309.0	4039.0	4270.0
scaffold_1	1510000	1520000	Karelia	8835.0	4036.0	4799.0
scaffold_1	1510000	1520000	MIX Amur Basin	7852.0	3597.0	4255.0
scaffold_1	1510000	1520000	MIX Central Siberia	8349.0	3952.0	4397.0
scaffold_1	1510000	1520000	MIX Sibiryakov Island	8546.0	3912.0	4634.0
scaffold_1	1510000	1520000	North America	8315.0	3982.0	4333.0
scaffold_1	1510000	1520000	Northern Ural	7979.0	3921.0	4058.0
scaffold_1	1510000	1520000	Scandinavia	8369.0	3982.0	4387.0
scaffold_1	1510000	1520000	Siberia SC	8609.0	3931.0	4678.0
scaffold_1	1510000	1520000	West Siberia	8468.0	4025.0	4443.0
scaffold_1	1510000	1520000	admixed	8428.0	3947.0	4481.0
scaffold_1	1520000	1530000	Central Europe	7040.0	4412.0	2628.0
scaffold_1	1520000	1530000	East Siberia	8184.0	4434.0	3750.0
scaffold_1	1520000	1530000	Karelia	8690.0	4372.0	4318.0
scaffold_1	1520000	1530000	MIX Amur Basin	7862.0	4023.0	3839.0
scaffold_1	1520000	1530000	MIX Central Siberia	8356.0	4390.0	3966.0
scaffold_1	1520000	1530000	MIX Sibiryakov Island	8552.0	4295.0	4257.0
scaffold_1	1520000	1530000	North America	8200.0	4397.0	3803.0
scaffold_1	1520000	1530000	Northern Ural	8044.0	4332.0	3712.0
scaffold_1	1520000	1530000	Scandinavia	8286.0	4399.0	3887.0
scaffold_1	1520000	1530000	Siberia SC	8883.0	4373.0	4510.0
scaffold_1	1520000	1530000	West Siberia	8479.0	4427.0	4052.0
scaffold_1	1520000	1530000	admixed	8513.0	4382.0	4131.0
scaffold_1	1530000	1540000	Central Europe	5924.0	3279.0	2645.0
scaffold_1	1530000	1540000	East Siberia	7857.0	3310.0	4547.0
scaffold_1	1530000	1540000	Karelia	8224.0	3214.0	5010.0
scaffold_1	1530000	1540000	MIX Amur Basin	7453.0	2752.0	4701.0
scaffold_1	1530000	1540000	MIX Central Siberia	7715.0	3256.0	4459.0
scaffold_1	1530000	1540000	MIX Sibiryakov Island	8071.0	2980.0	5091.0
scaffold_1	1530000	1540000	North America	7444.0	3296.0	4148.0
scaffold_1	1530000	1540000	Northern Ural	7616.0	3164.0	4452.0
scaffold_1	1530000	1540000	Scandinavia	7676.0	3277.0	4399.0
scaffold_1	1530000	1540000	Siberia SC	8381.0	3245.0	5136.0
scaffold_1	1530000	1540000	West Siberia	7660.0	3267.0	4393.0
scaffold_1	1530000	1540000	admixed	8196.0	3254.0	4942.0
scaffold_1	1540000	1550000	Central Europe	7388.0	4282.0	3106.0
scaffold_1	1540000	1550000	East Siberia	8731.0	4333.0	4398.0
scaffold_1	1540000	1550000	Karelia	8935.0	4329.0	4606.0
scaffold_1	1540000	1550000	MIX Amur Basin	7961.0	3800.0	4161.0
scaffold_1	1540000	1550000	MIX Central Siberia	8578.0	4228.0	4350.0
scaffold_1	1540000	1550000	MIX Sibiryakov Island	8685.0	4193.0	4492.0
scaffold_1	1540000	1550000	North America	8455.0	4274.0	4181.0
scaffold_1	1540000	1550000	Northern Ural	7957.0	4203.0	3754.0
scaffold_1	1540000	1550000	Scandinavia	8666.0	4274.0	4392.0
scaffold_1	1540000	1550000	Siberia SC	8775.0	4209.0	4566.0
scaffold_1	1540000	1550000	West Siberia	8802.0	4316.0	4486.0
scaffold_1	1540000	1550000	admixed	8607.0	4225.0	4382.0
scaffold_1	1550000	1560000	Central Europe	7065.0	4331.0	2734.0
scaffold_1	1550000	1560000	East Siberia	8486.0	4340.0	4146.0
scaffold_1	1550000	1560000	Karelia	8761.0	4345.0	4416.0
scaffold_1	1550000	1560000	MIX Amur Basin	6724.0	3213.0	3511.0
scaffold_1	1550000	1560000	MIX Central Siberia	8329.0	4303.0	4026.0
scaffold_1	1550000	1560000	MIX Sibiryakov Island	8365.0	4109.0	4256.0
scaffold_1	1550000	1560000	North America	8260.0	4340.0	3920.0
scaffold_1	1550000	1560000	Northern Ural	8166.0	4277.0	3889.0
scaffold_1	1550000	1560000	Scandinavia	8233.0	4193.0	4040.0
scaffold_1	1550000	1560000	Siberia SC	8815.0	4295.0	4520.0
scaffold_1	1550000	1560000	West Siberia	8507.0	4324.0	4183.0
scaffold_1	1550000	1560000	admixed	8552.0	4299.0	4253.0
scaffold_1	1560000	1570000	Central Europe	7420.0	5032.0	2388.0
scaffold_1	1560000	1570000	East Siberia	8236.0	4952.0	3284.0
scaffold_1	1560000	1570000	Karelia	5673.0	2893.0	2780.0
scaffold_1	1560000	1570000	MIX Amur Basin	5237.0	2585.0	2652.0
scaffold_1	1560000	1570000	MIX Central Siberia	8440.0	4942.0	3498.0
scaffold_1	1560000	1570000	MIX Sibiryakov Island	6279.0	3078.0	3201.0
scaffold_1	1560000	1570000	North America	8072.0	5029.0	3043.0
scaffold_1	1560000	1570000	Northern Ural	7185.0	4073.0	3112.0
scaffold_1	1560000	1570000	Scandinavia	6863.0	3799.0	3064.0
scaffold_1	1560000	1570000	Siberia SC	8975.0	4973.0	4002.0
scaffold_1	1560000	1570000	West Siberia	6521.0	3438.0	3083.0
scaffold_1	1560000	1570000	admixed	8628.0	4916.0	3712.0
scaffold_1	1570000	1580000	Central Europe	8616.0	6457.0	2159.0
scaffold_1	1570000	1580000	East Siberia	8586.0	6461.0	2125.0
scaffold_1	1570000	1580000	Karelia	6485.0	4666.0	1819.0
scaffold_1	1570000	1580000	MIX Amur Basin	3199.0	2207.0	992.0
scaffold_1	1570000	1580000	MIX Central Siberia	8823.0	6565.0	2258.0
scaffold_1	1570000	1580000	MIX Sibiryakov Island	2304.0	1571.0	733.0
scaffold_1	1570000	1580000	North America	9117.0	6592.0	2525.0
scaffold_1	1570000	1580000	Northern Ural	8326.0	6270.0	2056.0
scaffold_1	1570000	1580000	Scandinavia	5191.0	3796.0	1395.0
scaffold_1	1570000	1580000	Siberia SC	9369.0	6574.0	2795.0
scaffold_1	1570000	1580000	West Siberia	7212.0	5256.0	1956.0
scaffold_1	1570000	1580000	admixed	8960.0	6492.0	2468.0
scaffold_1	1580000	1590000	Central Europe	7513.0	4611.0	2902.0
scaffold_1	1580000	1590000	East Siberia	8514.0	4615.0	3899.0
scaffold_1	1580000	1590000	Karelia	7885.0	4097.0	3788.0
scaffold_1	1580000	1590000	MIX Amur Basin	7644.0	3965.0	3679.0
scaffold_1	1580000	1590000	MIX Central Siberia	8298.0	4562.0	3736.0
scaffold_1	1580000	1590000	MIX Sibiryakov Island	8199.0	4168.0	4031.0
scaffold_1	1580000	1590000	North America	8225.0	4606.0	3619.0
scaffold_1	1580000	1590000	Northern Ural	8124.0	4469.0	3655.0
scaffold_1	1580000	1590000	Scandinavia	8224.0	4555.0	3669.0
scaffold_1	1580000	1590000	Siberia SC	8833.0	4550.0	4283.0
scaffold_1	1580000	1590000	West Siberia	8395.0	4504.0	3891.0
scaffold_1	1580000	1590000	admixed	8502.0	4437.0	4065.0
scaffold_1	1590000	1600000	Central Europe	3569.0	2691.0	878.0
scaffold_1	1590000	1600000	East Siberia	3232.0	2178.0	1054.0
scaffold_1	1590000	1600000	Karelia	2555.0	1423.0	1132.0
scaffold_1	1590000	1600000	MIX Amur Basin	3075.0	1873.0	1202.0
scaffold_1	1590000	1600000	MIX Central Siberia	3705.0	2528.0	1177.0
scaffold_1	1590000	1600000	MIX Sibiryakov Island	2303.0	1278.0	1025.0
scaffold_1	1590000	1600000	North America	4280.0	3091.0	1189.0
scaffold_1	1590000	1600000	Northern Ural	2920.0	1921.0	999.0
scaffold_1	1590000	1600000	Scandinavia	3143.0	1952.0	1191.0
scaffold_1	1590000	1600000	Siberia SC	3678.0	2300.0	1378.0
scaffold_1	1590000	1600000	West Siberia	3115.0	2027.0	1088.0
scaffold_1	1590000	1600000	admixed	3265.0	1973.0	1292.0
scaffold_1	1600000	1610000	Central Europe	7483.0	3745.0	3738.0
scaffold_1	1600000	1610000	East Siberia	8147.0	3781.0	4366.0
scaffold_1	1600000	1610000	Karelia	8704.0	3779.0	4925.0
scaffold_1	1600000	1610000	MIX Amur Basin	7715.0	3302.0	4413.0
scaffold_1	1600000	1610000	MIX Central Siberia	8025.0	3720.0	4305.0
scaffold_1	1600000	1610000	MIX Sibiryakov Island	8440.0	3624.0	4816.0
scaffold_1	1600000	1610000	North America	7868.0	3735.0	4133.0
scaffold_1	1600000	1610000	Northern Ural	7831.0	3673.0	4158.0
scaffold_1	1600000	1610000	Scandinavia	7973.0	3725.0	4248.0
scaffold_1	1600000	1610000	Siberia SC	8829.0	3708.0	5121.0
scaffold_1	1600000	1610000	West Siberia	8538.0	3777.0	4761.0
scaffold_1	1600000	1610000	admixed	8429.0	3711.0	4718.0
scaffold_1	1610000	1620000	Central Europe	7475.0	4424.0	3051.0
scaffold_1	1610000	1620000	East Siberia	8629.0	4454.0	4175.0
scaffold_1	1610000	1620000	Karelia	8760.0	4454.0	4306.0
scaffold_1	1610000	1620000	MIX Amur Basin	7860.0	4002.0	3858.0
scaffold_1	1610000	1620000	MIX Central Siberia	8496.0	4386.0	4110.0
scaffold_1	1610000	1620000	MIX Sibiryakov Island	8565.0	4360.0	4205.0
scaffold_1	1610000	1620000	North America	8334.0	4421.0	3913.0
scaffold_1	1610000	1620000	Northern Ural	8257.0	4362.0	3895.0
scaffold_1	1610000	1620000	Scandinavia	8387.0	4421.0	3966.0
scaffold_1	1610000	1620000	Siberia SC	8710.0	4366.0	4344.0
scaffold_1	1610000	1620000	West Siberia	8549.0	4446.0	4103.0
scaffold_1	1610000	1620000	admixed	8634.0	4376.0	4258.0
scaffold_1	1620000	1630000	Central Europe	6820.0	3724.0	3096.0
scaffold_1	1620000	1630000	East Siberia	7933.0	3783.0	4150.0
scaffold_1	1620000	1630000	Karelia	8368.0	3748.0	4620.0
scaffold_1	1620000	1630000	MIX Amur Basin	7492.0	3339.0	4153.0
scaffold_1	1620000	1630000	MIX Central Siberia	7793.0	3703.0	4090.0
scaffold_1	1620000	1630000	MIX Sibiryakov Island	8390.0	3671.0	4719.0
scaffold_1	1620000	1630000	North America	8030.0	3735.0	4295.0
